idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
685,"Der Mann hinter dem Berliner Pädophilen Skandal, der Kinder in die Obhut von Kinderschändern brachte, ist der gefeierte Begründer der Sexualpädagogik, die heute in Schulen und Kitas praktiziert wird'. Interview mit Familien Aktivistin von Beverfoerde. ",der Kinder in die Obhut von Kinderschändern brachte,Interview mit Familien Aktivistin von Beverfoerde,0,0,0,0
686,"Die Bundeszentrale für Politische Bildung hat eine CD mit 'Heimatliedern aus Deutschland' herausgegeben. Kein einziges davon ist in einer Sprache, die der Durchschnittsdeutsche versteht. Soll da mit Steuergeldern der Begriff 'Heimat' umgeframt werden? ",Heimatliedern aus Deutschland,Soll da mit Steuergeldern der Begriff,0,0,0,0
687,Über 90 Corona Kundgebungen von Rechtsextremisten dominiert': Diese Nachricht ging breit durch die großen Medien. Und sie blieb hängen. Dabei ist sie äußerst irreführend. Hier die Geschichte einer Gemeinschafts Manipulation von Politik und Medien:,Über 90 Corona Kundgebungen von Rechtsextremisten dominiert,Hier die Geschichte einer Gemeinschafts Manipulation von Politik und Medien,0,0,0,0
688,Zwischen Patt und Zugzwang: Die (Schach )Partie um Weißrussland steht Spitz auf Knopf. Wie kam es soweit? Und wie wird es weiter gehen? Die Menschen in dem Land sind von Russland ebenso enttäuscht wie von der EU und den USA. Innenansichten aus Minsk:,Zwischen Patt und Zugzwang,Innenansichten aus Minsk,0,0,0,1
689,"Fünf Jahre nach Merkels Grenzöffnung befindet sich Deutschland im geistigen Bürgerkrieg. Merkels Mantra 'Wir schaffen das' hat einen Scherbenhaufen hinterlassen. Die Gesellschaft ist so gespalten wie nie, die Integration gescheitert. Eine kritische Bilanz. ",hat einen Scherbenhaufen hinterlassen,die Integration gescheitert,0,0,0,0
690,"Keine Abgrenzung nach Linksaußen: Der Virologe Drosten ließ sich von der linksextremen Band 'ZSK', dem musikalischen Arm der Antifa,  feiern und posierte mit ihr. Die Medien fanden es toll.  Empörung rief nur hervor, dass sich manche darüber empörten. ",Die Medien fanden es toll,Empörung rief nur hervor,0,0,0,0
691,"Corona Tests entscheiden heute über Schicksale: Von einzelnen Menschen und ganzen Ländern. Eine Anfrage an Berlins Regierung offenbarte jetzt Erschreckendes: Die Behörden tappen bei den Tests ziemlich im Dunklen. Hier die unglaubliche, exklusive Geschichte: ",ganzen Ländern,exklusive Geschichte,0,0,0,0
692,Bürger drangsalieren – gerne. Kriminelle verfolgen – nicht so gerne: Berlins rot rot grüner Senat ist die Sicherheit der Menschen nicht so wichtig. Das meint ein FDP Abgeordneter – darf dazu im Parlament aber nicht reden. Hier seine 'zensierte' Abrechnung:,Bürger drangsalieren,Kriminelle verfolgen,0,0,1,1
693,Kritiker sprechen von 'Gesinnungsschnüffelei' und von einem 'Spitzelsystem': Berlins grüner Justizsenator hat ein anonymes Meldesystem eingeführt zur 'Erfassung demokratiefeindlicher Tendenzen' bei seinen Beamten. Die Neuregelung erinnert an Orwell.,Kritiker sprechen von 'Gesinnungsschnüffelei',Die Neuregelung erinnert an Orwell,0,0,0,0
694,"Die Qual der Wahl wird für die US Bürger im November besonders schmerzhaft: Sie müssen zwischen einem etwas betagten Quartalsirren und einem Greis mit Demenz im fortgeschrittenen Stadium auswählen, so mein US Gastautor. Hier seine provokante Analyse: ",so mein US Gastautor,Hier seine provokante Analyse,0,0,0,0
695,"Linksextreme haben im Juli einem Polizisten in Berlin das Visier heruntergerissen, eine Flasche ins Gesicht geschlagen, er kämpft bis heute um sein Augenlicht. Reaktion Steinmeiers? Null. Dafür ehrte er die 'Helden Polizisten' vom Reichstag. Fremdschämen. ",Reaktion Steinmeiers,Helden Polizisten,0,0,0,0
696,"Drei Polizisten werden nach dem angeblichen 'Reichstags Sturm' zu Helden erklärt, Steinmeier hofiert sie. Im Alltag werden kritische Beamte dagegen oft brutal gemobbt. Erst kürzlich erschoss sich eine 21 jährige Polizistin mit der Dienstwaffe. Eine Pressemitteilung dazu gab es von der Polizei nicht. .",zu Helden erklärt,Steinmeier hofiert sie,0,0,0,1
697,"Regierungen lieben Pandemien, und sie lieben sie aus den gleichen Gründen, aus denen sie Krieg lieben, weil es sie in die Lage versetzt, Kontrollmechanismen zu installieren, die wir sonst niemals akzeptieren würden.' Die Rede von Robert Kennedy in Berlin: ",weil es sie in die Lage versetzt,Kontrollmechanismen zu installieren,0,0,0,0
698,"„Staaten und Regierungen müssen (und dürfen) primär das Wohl der eigenen Bevölkerung und Bürger im Auge haben. Was in Südafrika oder in Somalia schiefläuft, kann nicht in Deutschland oder Europa geheilt werden.“ Das und vieles mehr steht im neuen 'Sarrazin', der heute erscheint. Josef Kraus hat ihn für Sie gelesen:  ",Was in Südafrika oder in Somalia schiefläuft,Josef Kraus hat ihn für Sie gelesen,0,0,0,0
699,"Im Internet kursiert dieses Video, auf dem eine Frau zu sehen ist, die von einem Polizisten am Boden liegend geschlagen wird. Es heißt in Texten zu dem Video, die Frau sei gestorben. Es handelt sich dabei nach Auskunft der Berliner Polizei um eine Falschmeldung, die Frau lebt.",auf dem eine Frau zu sehen ist,die Frau lebt,0,0,0,1
700,"Die Geschichte vom vermeintlichen 'Sturm auf den Reichstag' entpuppt sich als Posse: Ein Teilnehmer bauschte die Tumulte in seiner Viedeo Aufnahme zum 'Sturm' auf, 'Antifa Zeckenbiss' (Chemnitz 'Hetzjagd') manipulierte dieses Video durch Kürzungen, die Medien übernahmen dann den Narrativ des Teilnehmers und die 'Antifa Zeckenbiss' Version. ",Antifa Zeckenbiss,Antifa Zeckenbiss,0,0,0,0
701,Die Berliner Polizei hat heute die Anti Corona Maßnahmen Demo von 'Querdenken 711' aufgelöst. Die Veranstalter erheben schwere Vorwürfe gegen die Behörden. Hier mein Video von der Siegessäule und mein Interview mit den Organisatoren.,Hier mein Video von der Siegessäule,mein Interview mit den Organisatoren,0,0,0,0
702,"Frage an die Sie versperren den Demonstranten bei den Weitermarsch, gleichzeitig sind die Zugänge zu den Seitenstraßen abgesperrt (siehe Video), sie können nicht weg. Wie sollen die Menschen da den Mindestabstand einhalten?Berlin2908: Wie Tagesschau & Co. lügen und framen – und wie es wirklich war. Im aktuellen reitschuster.live erzähle ich Ihnen meine frischen Eindrücke von meinem Tag auf der Demi –  wegen Sperrung auf Youtube auf meinem Ersatzkanal 'im Exil': ",gleichzeitig sind die Zugänge zu den Seitenstraßen abgesperrt,Wie sollen die Menschen da den Mindestabstand einhalten,0,0,0,1
703,"Am Abend vor Berlin2908 zeigte Berlins Polizeiführung, wo die Reise hingeht: Bei einer Antifa Demo ignorierte sie alle Corona Verstöße, bei anderen Demonstranten griff sie hart durch. Die Polizei agierte als Schutzarm der Antifa. Hier mein Video: ",Am Abend vor Berlin2908 zeigte Berlins Polizeiführung,Bei einer Antifa Demo ignorierte sie alle Corona Verstöße,0,0,0,1
704,"Am Abend vor Berlin2908 zeigte Berlins Polizeiführung, wo die Reise hingeht: Bei einer Antifa Demo ignorierte sie alle Corona Verstöße, bei anderen Demonstranten griff sie hart durch. Die Polizei agierte als Schutzarm der Antifa. Hier mein Video: ",Am Abend vor Berlin2908 zeigte Berlins Polizeiführung,Die Polizei agierte als Schutzarm der Antifa,0,0,0,1
705,"Am Abend vor Berlin2908 zeigte Berlins Polizeiführung, wo die Reise hingeht: Bei einer Antifa Demo ignorierte sie alle Corona Verstöße, bei anderen Demonstranten griff sie hart durch. Die Polizei agierte als Schutzarm der Antifa. Hier mein Video: ",Bei einer Antifa Demo ignorierte sie alle Corona Verstöße,Die Polizei agierte als Schutzarm der Antifa,0,0,0,1
706,"Alle reden von Corona, das bislang 9.300 Tote in D. forderte – aber kaum jemand von den bis zu 4000 Toten durch Krankenhauskeimen im Jahr. Dabei wäre das zu vermeiden – doch das Thema wird kaum behandelt. Stattdessen Eigenlob aufs Gesundheitssystem. ",das bislang 9.300 Tote in D. forderte,aber kaum jemand von den bis zu 4000 Toten durch Krankenhauskeimen im Jahr,0,0,0,0
707,Diese Liebe beruht auf Gegenseitigkeit: 'Kulturschaffende' bringen Merkel schon mal Rosen – sie greift jetzt tief ins Füllhorn und es gibt Grundsicherung ohne Anrechnung von Privatvermögen etc. – der Steuerzahler zahlt es ja. Geschichte einer Symbiose:,Diese Liebe beruht auf Gegenseitigkeit,der Steuerzahler zahlt es ja,0,0,0,0
708,"Berlins SPD Innensenator Geisel begründet das Demo Verbot damit, die Veranstalter hätten schon mal die Hygiene Regeln verletzt.  Nach der Logik müsste man auch Leuten wie Geisel verbieten, Senator zu sein, weil er Mitglied der SED war und damit schon mal Demokratie Regeln brach.",die Veranstalter hätten schon mal die Hygiene Regeln verletzt,Nach der Logik müsste man auch Leuten wie Geisel verbieten,0,0,0,0
709,"Berlins SPD Innensenator Geisel begründet das Demo Verbot damit, die Veranstalter hätten schon mal die Hygiene Regeln verletzt.  Nach der Logik müsste man auch Leuten wie Geisel verbieten, Senator zu sein, weil er Mitglied der SED war und damit schon mal Demokratie Regeln brach.",die Veranstalter hätten schon mal die Hygiene Regeln verletzt,weil er Mitglied der SED war und damit schon mal Demokratie Regeln brach,0,0,0,0
710,"Angela Merkel hat es heute wieder getan, und auch die meisten Medien tun es: Das ständige Sprechen von wachsenden Infektionszahlen ohne Hinweis darauf, dass es sich dabei nur um positive Tests handelt und immer mehr Menschen getestet werden, ist Schwindel .",auch die meisten Medien tun es,immer mehr Menschen getestet werden,0,0,0,0
711,"Heute vor 250 Jahren wurde der Meisterdenker des deutschen Idealismus, Georg Wilhelm Friedrich Hegel, geboren: Ein Verteidiger des bürgerlichen Ethos und Vorkämpfer für Freiheit. Seine Themen sind heute wieder aktueller, als wir uns wünschen könnten. Heute etwas schwerere, aber umso wertvollere Kost auf meine Seite in einem Gastbeitrag von Professor Felix Dirsch ",Georg Wilhelm Friedrich Hegel,Ein Verteidiger des bürgerlichen Ethos und Vorkämpfer für Freiheit,0,0,0,0
712,"Verbot der 'Corona Demo' in Berlin: Wie viel Demokratie haben wir noch? reitschuster.live auf meinem Ersatzkanal – weil mein eigentlicher gesperrt ist. Helfen Sie, ein Zeichen gegen  Zensur zu setzen: Teilen Sie den Link, abonnieren Sie den Ersatzkanal. ",Teilen Sie den Link,abonnieren Sie den Ersatzkanal,0,0,0,0
713,Auf Anraten von  habe ich das zensierte  Bhakdi Video mit anderem Text und Kommentar neu auf YouTube hochgeladen. Nach wenigen Minuten war es gelöscht. Und ich mein Konto wurde gesperrt. Begründung: Identitätsdiebstahl. Absurd. Jetzt geht es vor Gericht! Zensoren!,Nach wenigen Minuten war es gelöscht,Und ich mein Konto wurde gesperrt,1,0,0,0
714,"Offenbar bei einem illegalen Autorennen ist in Dresden ein sechsjähriger Junge getötet worden. Der Tatverdächtige kam in Haft, viele Medien verschweigen Details und/oder verharmlosen. Warum, ist leider nur zu leicht zu erahnen. Hier die ganze Geschichte: ",Der Tatverdächtige kam in Haft,viele Medien verschweigen Details,0,0,0,0
715,"Tabu Bruch: Eine 23 jährige erzählt, wie sie wegen der Corona Maßnahmen abgestürzt ist – und auch Bekannte, weil sie ihre Gruppentherapie abbrechen mussten. Mit dramatischen Folgen. Über die man kaum etwas in den Medien findet. Hier der dramatische Bericht: ",wie sie wegen der Corona Maßnahmen abgestürzt ist,weil sie ihre Gruppentherapie abbrechen mussten,0,0,0,0
716,"Verschwörungstheorien statt Journalismus: Der Spiegel unterstellt Trump Pläne für einen Staatsstreich. Ohne jeglichen Beleg. In Wirklichkeit sei es eher umgekehrt, Trump versuche Wahl Tricksereien der Linken zu verhindern, so mein Gastautor aus den USA: ",Der Spiegel unterstellt Trump Pläne für einen Staatsstreich,Trump versuche Wahl Tricksereien der Linken zu verhindern,0,0,0,1
717,"Medien GAU? Korrupt & geldgeil: So zeigten deutsche Medien 🇦🇹Vizekanzler Strache im Ibiza Video. Und stürzten damit die konservative Regierung in Wien. Jetzt tauchten neue Szenen aus dem Video auf, die Strache entlasten. Haben unsere Medien manipuliert? ",Und stürzten damit die konservative Regierung in Wien,Jetzt tauchten neue Szenen aus dem Video auf,0,0,0,0
718,"Medien GAU? Korrupt & geldgeil: So zeigten deutsche Medien 🇦🇹Vizekanzler Strache im Ibiza Video. Und stürzten damit die konservative Regierung in Wien. Jetzt tauchten neue Szenen aus dem Video auf, die Strache entlasten. Haben unsere Medien manipuliert? ",die Strache entlasten,Haben unsere Medien manipuliert,0,0,0,0
719,"Facebook hat mich wegen „Hassrede“ gesperrt für diesen Beitrag, der hier auf twitter noch online ist. Wenn so eine Frage Hassrede ist, wenn man dafür zensiert wird und den Mund verboten bekommt, was hat das noch mit Meinungsfreiheit zu tun? Die drehen völlig frei...",der hier auf twitter noch online ist,Wenn so eine Frage Hassrede ist,0,0,0,0
720,Kluge Politik ohne Panikmache oder sträflicher Leichtsinn? An Schwedens lockerer Corona Politik scheiden sich die Geister. Bei uns wird sie meist negativ dargestellt – sonst stünde unsere Politik auch blöd da. Hier ein Erfahrungsbericht  aus Stockholm:,Kluge Politik ohne Panikmache oder sträflicher Leichtsinn,An Schwedens lockerer Corona Politik scheiden sich die Geister,0,0,0,0
721,"Der Mann, der am Flughafensee eine 15 Jährige vergewaltigt haben soll, was die Polizei neun Tage lang verschwieg, stammt offenbar aus dem Clan Milieu. Zumindest legt das eine Aussage von Innensenator Geisel nahe, der sich kryptisch ausdrückte. Warum wohl? (ganz unten im Artikel) ",der am Flughafensee eine 15 Jährige vergewaltigt haben soll,was die Polizei neun Tage lang verschwieg,0,0,0,0
722,"Der Attentäter von Berlin habe nicht abgeschoben werden können, weil er Iraker sei, beteuert SPD Innensenator Geisel. Die meisten Medien übernehmen das. Und verschweigen dabei, dass Geisel eingestehen musste: Es gibt erhebliche Zweifel an der Nationalität. ",beteuert SPD Innensenator Geisel,Es gibt erhebliche Zweifel an der Nationalität,0,0,0,0
723,"Autobahn Attentäter, Gleiskiller: Menschen aus Krisengebieten haben oft psychische Probleme. Das kann zu Gewalt führen. Das Problem wird tabuisiert, und genau das verhindert Lösungen. Die Verdränger in Politik und Medien sind mitverantwortlich für die Taten.",Menschen aus Krisengebieten haben oft psychische Probleme,Die Verdränger in Politik und Medien sind mitverantwortlich für die Taten,0,0,0,0
724,"Autobahn Attentäter, Gleiskiller: Menschen aus Krisengebieten haben oft psychische Probleme. Das kann zu Gewalt führen. Das Problem wird tabuisiert, und genau das verhindert Lösungen. Die Verdränger in Politik und Medien sind mitverantwortlich für die Taten.",Das kann zu Gewalt führen,Das Problem wird tabuisiert,0,0,0,0
725,"Kinder müssen in NRW in den Schulen Masken tragen, wenn dagegen die Risikogruppe zur CDU Wahlkampfveranstaltungen zu Spahn kommt, darf sie auf alle Corona Regeln pfeifen. Vor den Augen des Gesundheitsministers. Und die Presse tut so, als sähe sie es nicht.",Kinder müssen in NRW in den Schulen Masken tragen,wenn dagegen die Risikogruppe zur CDU Wahlkampfveranstaltungen zu Spahn kommt,0,0,0,1
726,"Weil er die Maskenpflicht nicht durchsetzte, ist der Leiter einer Grundschule im Brandenburgischen Rathenow vom Dienst suspendiert worden. Als rund 70 Eltern dagegen vor der Schule protestieren, löste die Polizei ihre Demonstration auf. Der Beamte spricht von 'DDR 2.0'. ",Weil er die Maskenpflicht nicht durchsetzte,Der Beamte spricht von,0,0,0,0
727,"Die Weltbank und der IWF sollen angeblich versucht haben, Lukaschenko zu bestechen, strengere Corona Maßnahmen  einzuführen. Was steckt hinter dieser Behauptung, die sich gerade lawinenartig im Internet verbreitet? Hier (m)eine Spurensuche. ",Die Weltbank,eine Spurensuche,0,0,0,0
728,"9 Tage hat die Polizei geschwiegen über die Vergewaltigung einer 15 Jährigen, 3 Tage kam keine Antwort auf meine Presseanfrage und mein Nachhaken. Erst jetzt bestätigt die Behörde die Tat. Das Schweigen wirft Fragen auf. Sollen wir nicht beunruhigt werden? ",9 Tage hat die Polizei geschwiegen über die Vergewaltigung einer 15 Jährigen,3 Tage kam keine Antwort auf meine Presseanfrage und mein Nachhaken,0,0,0,0
729,Nach 12000 Aufrufen ist mein Interview mit Prof. Bhakdi bei Youtube gelöscht worden. 'Es wurde zur Überprüfung' gemeldet und soll 'gegen Richtlinien' verstoßen. Bhakdi kritisiert nüchtern. Diese Zensur verhöhnt die Meinungsfreiheit. Urteilen Sie selbst:,Es wurde zur Überprüfung' gemeldet,soll 'gegen Richtlinien' verstoßen,0,0,0,0
730,"Seit drei Tagen schweigt die Berliner Polizei zu Berichten über Attacken auf Beamte und eine Vergewaltigung am Flughafensee. Jetzt dringen neue Details nach außen:  Demnach war das mutmaßliche Opfer erst 15 Jahre alt, die Angreifer waren Migranten. ",eine Vergewaltigung am Flughafensee,die Angreifer waren Migranten,0,0,0,0
731,"Partyszene' jetzt auch in Den Haag – unter Ausschluss der deutschen Öffentlichkeit: Seit Tagen randalieren in einem Migrantenviertel Jugendliche, greifen Polizisten an, legen Feuer, schwenken tunesische Fahnen. Bei uns findet man kaum Berichte darüber. ",greifen Polizisten an,legen Feuer,0,0,0,0
